,Clase de la via,Particula de la via,Nombre de la via,Codigo de vía,Distritos atravesados,Literal completo del vial 
17,CALLE                   ,DEL   ,ALCORNOQUE                                      ,711,9.0,CALLE DEL ALCORNOQUE                                           
18,CALLE                   ,DEL   ,PALOSANTO                                       ,712,9.0,CALLE DEL PALOSANTO                                            
19,CALLE                   ,DEL   ,MORTERO                                         ,713,9.0,CALLE DEL MORTERO                                              
20,CALLE                   ,DEL   ,AUTILLO                                         ,714,9.0,CALLE DEL AUTILLO                                              
21,RONDA                   ,DE LAS,FLORES                                          ,715,9.0,RONDA DE LAS FLORES                                            
22,CALLE                   ,DE    ,FRANCISCO GIRALTE                               ,716,5.0,CALLE DE FRANCISCO GIRALTE                                     
23,CALLE                   ,DEL   ,CARDENAL MARCELO SPINOLA                        ,717,5.0,CALLE DEL CARDENAL MARCELO SPÍNOLA                             
24,CALLE                   ,DE    ,JOSEP PLA                                       ,718,5.0,CALLE DE JOSEP PLA                                             
25,JARDINES                ,DE    ,PABLO SOROZABAL                                 ,719,5.0,JARDINES DE PABLO SOROZÁBAL                                    
26,CALLE                   ,DE    ,FOBOS                                           ,720,14.0,CALLE DE FOBOS                                                 
27,CALLE                   ,DE    ,OBERON                                          ,721,14.0,CALLE DE OBERÓN                                                
28,CALLE                   ,DE    ,NICOLAS MARIA URGOITI                           ,722,8.0,CALLE DE NICOLÁS MARÍA URGOITI                                 
29,CALLE                   ,DEL   ,HELECHO                                         ,723,5.0,CALLE DEL HELECHO                                              
30,CALLE                   ,DE    ,LA ESTRADA                                      ,724,8.0,CALLE DE LA ESTRADA                                            
